Academic Period,Academic Level,Instructional Method,Course Subjects,Section,Course Definition,Abbreviated Title,Description,All Instructors,Enrollment Count,Section Capacity,Section Status,All Conflicting Activity Offerings,Section Details,Locations,Meeting Patterns,Meeting Day Patterns,Start Time,End Time,Subject,Course Number,Section Number,Hidden Course Section
Fall 2023,Undergraduate,Lecture,American Studies,AMST 111-02 - Global Valley,AMST 111 - Global Valley,Global Valley,"[Pre-1900] Drawing on a wide range of primary materials, and taking advantage of the ease of visiting the sites of many of the topics we study, this course offers an introduction to American Studies through an exploration of the Connecticut River Valley that stresses both the fascination of detailed local history and the economic, political, social, and cultural networks that tie this place to the world. Topics may include conflicts and accommodations between Native peoples and English settlers; changing uses of land and resources; seventeenth-century witchcraft trials; the American Revolution and Shays rebellion; religious revivalism of the Great Awakening; abolitionist and other nineteenth-century reform movements; tourism and the scenic including Thomas Cole's famous painting of the oxbow; immigration, industrialization and deindustrialization, especially in the cities of Holyoke and Springfield; educational institutions and innovations; the Cold War, the reach of the ""military industrial complex"" into local educational institutions, and ""the bunker""; the sanctuary movement; feminist and gay activism; present environmental, mass incarceration, and other social equity issues; and of course, Emily Dickinson's poetry.
Limited to 20 students per section. 8 seats per section reserved for first-year students. Fall semester. Professors Brooks and Sánchez-Eppler.

How to handle overenrollment: Preference given to majors, and first and second year students as this is an introductory course.

Students who enroll in this course will likely encounter and be expected to engage in the following intellectual skills, modes of learning, and assessment: Emphasis on discussion, reading, written work, field trips, critical analysis, independent research, and exposure to a wide range of American Studies interpretive methods including interpreting landscapes, material culture objects, poems, novels, deeds, maps, archival manuscripts, photographs, and paintings.  This course aims to foster critical engagement with the history of colonialism and of diverse forms of inequality in the Connecticut River valley.",Karen Sanchez-Eppler,4,0,Open,,Tuesday/Thursday | 10:00 AM - 11:20 AM,,Tuesday/Thursday | 10:00 AM - 11:20 AM,Tuesday/Thursday,07:00,08:20,American Studies,111,02,
Fall 2023,Undergraduate,Lecture,"American Studies

Black Studies",AMST 130-01/ BLST 130-01 - Transnational America,AMST 130/ BLST 130 - Transnational America,Transnational America,"(Offered as AMST 130 and BLST 130[D]) The hustle and flow of bodies, ideas, inequalities and solidarities is core to our increasingly globalized world. This course offers an introduction to the Americas as a transnational space. We will explore the interplay of race, gender, ethnicity, sexuality, and nationality from interdisciplinary perspectives. We will draw examples from the United States, Canada, the Caribbean, and Latin America. Students will learn through a variety of methods including textual analysis, feminist ethnography, archival research, and cultural studies. We will also examine multiple approaches to American Studies such as critical race and ethnic studies, feminist and queer studies, indigenous studies, as well as theories of decolonization and settler colonialism. We will grapple with the complexities of identity and difference, immigration and border control, slavery, colonization, and empire.
Limited to 20 students. Fall semester. Assistant Professor Jolly.

How to handle overenrollment: Preference will be given to first year students and sophomores and American Studies and Black Studies majors.

Students who enroll in this course will likely encounter and be expected to engage in the following intellectual skills, modes of learning, and assessment: emphasis on written work, critical reflections, qualitative work, group-based discussions, cultural analysis, ethnographic analysis, critical engagements with linkages in various ethnic studies fields; open engagements with difference, identity, and nuanced interrogations of the inner-workings of power, unsettling racism and colonialism in a transnational context.",Jallicia Jolly,4,20,Open,,Tuesday/Thursday | 1:00 PM - 2:20 PM,,Tuesday/Thursday | 1:00 PM - 2:20 PM,Tuesday/Thursday,10:00,11:20,American Studies,130,01,
Fall 2023,Undergraduate,Lecture,American Studies,AMST 205-01 - Sports in America,AMST 205 - Sports in America,Sports in America,"Sports infiltrate American lives.  Whether we are active participants, fans, or only disinterested consumers of media, we cannot escape the influence sport has on American society. Moreover, the world of sports is the place where discussions of major societal issues—racism, gender inequality, labor rights—most prominently arise in the public sphere. Media often point to sport as being emblematic of the most powerful myths about American culture and identity. Yet, few people have an appreciation for how sports in American society and their meaning have evolved over time. This course is designed to offer such an understanding and promote critical analysis of the role of sports in our individual and collective lives. We will study and discuss contemporary scholarship on the history of American sport, from roughly 1800 to the present, as well as related literature and documentary film.
Limited to 25 students.  Fall semester.  Professor Hayashi.

How to handle overenrollment: Preference will be given to American Studies majors.

Students who enroll in this course will likely encounter and be expected to engage in the following intellectual skills, modes of learning, and assessment: class discussions, small group work, short written assignments, and oral presentations.",Robert Hayashi,13,25,Open,,Tuesday/Thursday | 2:30 PM - 3:50 PM,,Tuesday/Thursday | 2:30 PM - 3:50 PM,Tuesday/Thursday,11:30,12:50,American Studies,205,01,
Fall 2023,Undergraduate,Lecture,American Studies,"AMST 217-01 - Religion, Democracy","AMST 217 - Religion, Democracy","Religion, Democracy","[Pre-1900] The United States has inscribed the separation of church and state into its constitutional order, and yet Americans have for two centuries been more deeply committed to religious faith and practice than any other people in the Western world. This course endeavors to explore that paradox. Topics addressed include the changing meanings of ""the city on a hill""; the varieties of millennial belief and utopian community; the relationship between religion, ethnicity, and gender; religious political activism, including abolition, prohibition, anti-war and anti-abortion movements; and the limits of religious tolerance from movements against Catholics and Mormons to recent warnings of a ""clash of civilizations"" with Muslim cultures.
Limited to 25 students. Fall semester. Professors Couvares.

How to handle overenrollment: Preference given to majors, then first and second year students

Students who enroll in this course will likely encounter and be expected to engage in the following intellectual skills, modes of learning, and assessment: Emphasis on discussion, reading, written work, critical analysis, and at least one field trip; and exposure to various American Studies readings, ranging from the colonial era to the present; and the use of various methods, including interpreting historical, sociological and other scholarly work, as well as poems, novels, photographs, and paintings.",Francis Couvares,7,25,Open,,Tuesday/Thursday | 8:30 AM - 9:50 AM,,Tuesday/Thursday | 8:30 AM - 9:50 AM,Tuesday/Thursday,05:30,06:50,American Studies,217,01,
Fall 2023,Undergraduate,Lecture,American Studies,AMST 219-01 - Rebels and Reformers:,AMST 219 - Rebels and Reformers:,Rebels and Reformers:,"This course examines the experiences of women from diverse backgrounds during the Progressive Era (1890-1920). During this period characterized by rapid industrialization, mass immigration, and contested civil rights, women advocated for reforms of all kinds. But they did not always share the same visions of progress. Course units on labor, settlement work, sexual and racial politics, education, and physical culture will put these competing visions in historical context. Who defined the terms and goals of progress? Elite reformers worked for the betterment of society, but in whose interests? And what about the anarchists, who refused to play by the rules? Primary course materials will include periodical literature, pamphlets, political tracts, and works of literature. We will also examine historical writing, visual art, and archival material in the Sophia Smith Collection of Women’s History at Smith College.
Limited to 25 students. Fall semester. Senior Lecturer Bergoffen.

How to handle overenrollment: If overenrolled, preference will be given to American Studies majors.

Students who enroll in this course will likely encounter and be expected to engage in the following intellectual skills, modes of learning, and assessment: Writing and collaborating are central practices and goals in this course.  Students will write regularly--during class sessions, reflecting on discussions and course materials, composing short essays, and reporting on research.  Students will collaborate in small groups, learn archival practices, and engage in research.",Wendy Bergoffen,1,25,Open,,Tuesday/Thursday | 1:00 PM - 2:20 PM,,Tuesday/Thursday | 1:00 PM - 2:20 PM,Tuesday/Thursday,10:00,11:20,American Studies,219,01,
Fall 2023,Undergraduate,Lecture,"American Studies

Education Studies

English",AMST 220-01/ EDST 120-01/ ENGL 120-01 - Reading/Writing/Teaching,AMST 220/ EDST 120/ ENGL 120 - Reading/Writing/Teaching,Reading/Writing/Teaching,"(Offered as ENGL 120 and EDST 120) ​​This course considers from many perspectives what it means to read and write and learn and teach both for ourselves and for others. As part of the work of this course, in addition to the usual class hours, students will serve as weekly tutors and classroom assistants in adult basic education centers in nearby towns. Thus this course consciously engages with the obstacles to and the power of education through course readings, through self-reflexive writing about our own varied educational experiences, and through weekly work in the community. Although this course presses participants to reflect a great deal about teaching, this course does not teach how to teach. Instead it offers an exploration of the contexts and processes of education, and of the politics and desires that suffuse learning. Course readings range across literary genres including essays, poems, autobiographies, and novels in which education and teaching figure centrally, as well as readings in ethnography, sociology, psychology, and philosophy. The writing assignments cross many genres as well.
Limited to 18 students. Fall semester: Professor Frank. Spring semester: Lecturer Reardon.

How to handle overenrollment: Pre-registered students have priority.

Students who enroll in this course will likely encounter and be expected to engage in the following intellectual skills, modes of learning, and assessment: Fall semester: emphasis on written work, readings, tutoring at off-campus sites. Spring semester: emphasis on close reading and written work, oral presentations, tutoring in the community,  co-editing group work.",Judith Frank,16,18,Open,,Monday/Wednesday | 2:00 PM - 3:20 PM,,Monday/Wednesday | 2:00 PM - 3:20 PM,Monday/Wednesday,11:00,12:20,English,120,01,
Fall 2023,Undergraduate,Lecture,American Studies,AMST 238-01 - Indigenous Books and Art,AMST 238 - Indigenous Books and Art,Indigenous Books and Art,"In September 2023 the “Boundless” Exhibition will open at the Mead Art Museum featuring Native American artists and books from the Kim-Wait/Eisenberg Native American Literature Collection. This course enables students to learn about Native American literature and art production through the “Boundless” exhibit, and through readings and research related to Native American artistic traditions and literary practices. As an interdisciplinary course, taught within American Studies, students will work with texts from the Amherst Native Literature collection and choose a Native artist from the Mead’s exhibit to study in more depth. Some questions we will consider in our class discussions: What is the relationship between text and image within different Native American artistic traditions? From ledger books to the work of Mary Sulley and more contemporary Native performers and artists, how have Indigenous creators used the site of culture to contend with the shifting challenges that arise out of settler colonialism? How have Native artists and writers collaborated to produce cultural projects that celebrate Indigenous epistemologies? How do American and Indigenous artistic practices and traditions, in terms of literature, visual art, and film, overlap, critique, or enliven one another? This course is centered around Indigenous approaches to learning and will enable students to deepen their understanding of the relationships between research, museums, archives, and Indigenous cultural representations that contend with the legacies of colonization. Students will produce a final assignment that contributes to the Mead Museum’s “Boundless” Exhibit.
Limited to 15 students. Fall semester. Professor Vigil.
Pending Faculty Approval

How to handle overenrollment: Preference will be given to students completing the Five College NAIS Certificate program, American Studies majors, Art & the History of Art majors, and first and second year students.

Students who enroll in this course will likely encounter and be expected to engage in the following intellectual skills, modes of learning, and assessment: collaborative group work, readings and discussion, field trips, artistic work, independent research, visual analysis, oral presentations, and writing/storytelling.",Kiara Vigil,5,15,Open,,Wednesday/Friday | 12:30 PM - 1:50 PM,,Wednesday/Friday | 12:30 PM - 1:50 PM,Wednesday/Friday,09:30,10:50,American Studies,238,01,
Fall 2023,Undergraduate,Lecture,"American Studies

Sociology",AMST 268-01/ SOCI 268-01 - Rethinking Race & Class,AMST 268/ SOCI 268 - Rethinking Race & Class,Rethinking Race & Class,"(Offered as AMST 268 and SOCI 268) This course will bring a sociological lens to contemporary race and class relations in rural America. Drawing from social-historical analyses, ethnography, interview-based research, and memoir, we will look at the social forces at the base of shifting rural demographics, as well as how these shifts are being experienced in rural daily life. Central to the course will be an analysis of how place shapes the relationship between race and class, and how these place-based relationships in turn shape individual and collective identity. Throughout the course we will reflect on what anti-racist, equitable community building might look like in rural America and beyond.
Fall semester.  Professor Schmalzbauer.

How to handle overenrollment: null

Students who enroll in this course will likely encounter and be expected to engage in the following intellectual skills, modes of learning, and assessment: emphasis on written work; readings; in-depth discussion; and small group seminar presentations.",Leah Schmalzbauer,21,0,Open,,Tuesday/Thursday | 11:30 AM - 12:50 PM,,Tuesday/Thursday | 11:30 AM - 12:50 PM,Tuesday/Thursday,08:30,09:50,American Studies,268,01,
Fall 2023,Undergraduate,Lecture,"American Studies

Black Studies

English",AMST 361-01/ BLST 361-01/ ENGL 276-01 - Remixing and Remaking,AMST 361/ BLST 361/ ENGL 276/ FAMS 361 - Remixing and Remaking,Remixing and Remaking,"(Offered as AMST 361, BLST 361, and ENGL 276) Through a close reading of texts by African American authors, we will critically examine literary form and technique alongside the representation of race, gender, sexuality, and class. Coupled with our explication of poems, short stories, novels, and literary criticism, we will explore the stakes of adaptation in visual culture. Students will analyze the film and television adaptations of twentieth-century fiction. Authors will include Toni Morrison, Lorraine Hansberry, Alice Walker, and Gloria Naylor. Expectations include three writing projects, a group presentation, and various in-class assignments.
Limited to 18 students. Priority given to those students who attend the first day of the class. Open to first-year students with consent of the instructor. Fall semester. Professor Henderson.

How to handle overenrollment: Priority given to AMST majors; others admitted to balance by class, year, major.

Students who enroll in this course will likely encounter and be expected to engage in the following intellectual skills, modes of learning, and assessment: emphasis on written work, readings, oral presentations, group work, in-class quizzes or exams, artistic work, field work or trips, visual analysis and aural analysis.",Aneeka Henderson,0,18,Open,,Wednesday/Friday | 12:30 PM - 1:50 PM,,Wednesday/Friday | 12:30 PM - 1:50 PM,Wednesday/Friday,09:30,10:50,American Studies,361,01,
Fall 2023,Undergraduate,Lecture,"American Studies

Black Studies

English",AMST 368-01/ BLST 368-01/ ENGL 368-01 - Discipline and Defiance,AMST 368/ BLST 368/ ENGL 368 - Discipline and Defiance,Discipline and Defiance,"(Offered as AMST 368, BLST 368 and ENGL 368) History has long valorized passive, obedient, and long-suffering African American women alongside assertive male protagonists and savants. This course provides an alternative narrative to this representation by exploring the ways in which African American female characters, writers, and artists have challenged ideals of stoicism and submission. Using an interdisciplinary focus, we will critically examine transgression across time and space in diverse twentieth- and early twenty-first century literary, sonic, and visual texts. Expectations include three writing projects, a group presentation, and various in-class assignments.
Open to first-year students with consent of the instructor. Priority given to students who attend the first day of class. Limited to 18 students. Fall semester. Professor Henderson.

How to handle overenrollment: Priority given to students who attend the first day of class.

Students who enroll in this course will likely encounter and be expected to engage in the following intellectual skills, modes of learning, and assessment: emphasis on written work, readings, oral presentations, group work, in-class quizzes or exams, artistic work, field work or trips, visual analysis and aural analysis.",Aneeka Henderson,3,18,Open,,Wednesday/Friday | 2:00 PM - 3:20 PM,,Wednesday/Friday | 2:00 PM - 3:20 PM,Wednesday/Friday,11:00,12:20,American Studies,368,01,
